AGI	WT-1_count	WT-2_count	#5-1_count	#5-2_count	WT-1_FPKM	WT-2_FPKM	#5-1_FPKM	#5-2_FPKM	WT_mean-FPKM	#5_mean-FPKM	log2 (FC)	P Value	FDR	Name	Annotation
AT2G24205	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT2G24205	ECA1 gametogenesis related family protein
AT2G24210	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	TPS10	terpene synthase 10
AT2G24220	67	53	79	68	2.569	1.934	2.707	2.376	2.2515	2.5415	0.174793753	0.896269138	0.983640526	PUP5	purine permease 5
AT2G24230	130	122	177	163	2.082	1.856	2.53	2.385	1.969	2.4575	0.319728305	0.751516846	0.963783362	AT2G24230	Leucine-rich repeat protein kinase family protein
AT2G24240	98	127	166	104	2.247	2.767	3.398	2.18	2.507	2.789	0.153785938	0.843938084	0.97286683	AT2G24240	BTB/POZ domain with WD40/YVTN repeat-like protein
AT2G24250	55	75	70	104	1.613	2.077	1.819	2.767	1.845	2.293	0.313615539	0.827905847	0.96719924	AT2G24250	LOW protein: F-box/kelch-repeat protein (DUF295)
AT2G24255	0	0	16	6	0	0	0.454	0.174	0.001	0.314	8.294620749	0.007277716	0.071985767	AT2G24255	LOW protein: F-box/kelch-repeat protein
AT2G24260	56	42	90	67	1.557	1.105	2.225	1.696	1.331	1.9605	0.558711071	0.452826757	0.891320149	LRL1	LJRHL1-like 1
AT2G24270	10115	9048	7908	7894	242.808	207.04	170.39	172.118	224.924	171.254	-0.393299923	0.0000928	0.002326929	ALDH11A3	aldehyde dehydrogenase 11A3
AT2G24280	1519	1363	1240	1201	18.791	16.039	13.714	13.588	17.415	13.651	-0.351323834	0.000828322	0.013606896	AT2G24280	alpha/beta-Hydrolases superfamily protein
AT2G24285	1	1	0	6	0.093	0.088	0	0.51	0.0905	0.255	1.49450755	0.622983209	0.958433792	AT2G24285	zinc finger, C3HC4 type (RING finger) family protein
AT2G24290	291	293	343	320	13.768	13.17	14.487	13.836	13.469	14.1615	0.072331343	0.462904754	0.896459344	AT2G24290	ubiquitin-associated protein (DUF1068)
AT2G24300	77	75	58	82	1.709	1.579	1.173	1.706	1.644	1.4395	-0.19164251	0.249996246	0.708675261	AT2G24300	Calmodulin-binding protein
AT2G24310	15	10	13	5	0.624	0.395	0.483	0.19	0.5095	0.3365	-0.598475642	0.401925993	0.855739139	AT2G24310	TPRXL
AT2G24320	2	0	9	1	0.088	0	0.354	0.04	0.044	0.197	2.162620201	0.386943251	0.846635176	AT2G24320	alpha/beta-Hydrolases superfamily protein
AT2G24330	675	503	801	466	17.008	12.041	18.017	10.731	14.5245	14.374	-0.015026909	0.428155583	0.874367736	AT2G24330	integral membrane metal-binding family protein (DUF2296)
AT2G24340	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT2G24340	sequence-specific DNA binding transcription factor
AT2G24350	93	77	86	92	2.123	1.655	1.758	1.896	1.889	1.827	-0.048146068	0.441763844	0.883988584	AT2G24350	RNA binding (RRM/RBD/RNP motifs) family protein
AT2G24360	1189	1122	1458	1320	30.309	27.172	33.179	30.752	28.7405	31.9655	0.1534305	0.650347593	0.958433792	AT2G24360	Protein kinase superfamily protein
AT2G24370	0	0	1	1	0	0	0.013	0.014	0.001	0.0135	3.754887502	0.653537529	0.958433792	AT2G24370	kinase with adenine nucleotide alpha hydrolases-like domain-containing protein
AT2G24390	210	214	236	278	11.57	11.237	11.578	13.983	11.4035	12.7805	0.16446759	0.801400719	0.966194613	AT2G24390	AIG2-like (avirulence induced gene) family protein
AT2G24395	266	300	293	328	19.908	21.331	19.576	22.435	20.6195	21.0055	0.026757778	0.3547958	0.818040614	AT2G24395	chaperone protein dnaJ-like protein
AT2G24400	0	0	3	1	0	0	0.076	0.026	0.001	0.051	5.672425342	0.389699985	0.846635176	AT2G24400	SAUR-like auxin-responsive protein family
AT2G24410	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT2G24410	SMAD/FHA domain protein
AT2G24420	1680	1490	1398	1576	40.407	34.241	30.313	34.807	37.324	32.56	-0.197002908	0.01718949	0.136919719	AT2G24420	DNA repair ATPase-like protein
AT2G24430	0	1	3	1	0	0.044	0.123	0.042	0.022	0.0825	1.906890596	0.568295272	0.937305832	NAC038	NAC domain containing protein 38
AT2G24440	51	56	64	72	1.198	1.249	1.345	1.545	1.2235	1.445	0.240055391	0.982911356	0.996308721	AT2G24440	selenium binding protein
AT2G24450	0	0	5	0	0	0	0.175	0	0.001	0.0875	6.451211112	0.403489393	0.85615044	FLA3	FASCICLIN-like arabinogalactan protein 3 precursor
AT2G24460	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT2G24460	C3HC4-type RING finger protein
AT2G24470	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT2G24470	filament-like protein (DUF869)
AT2G24480	0	0	0	1	0	0	0	0.073	0.001	0.0365	5.189824559	0.824680889	0.966194613	AT2G24480	Zinc finger, C3HC4 type (RING finger) family protein
AT2G24490	167	142	166	226	5.384	4.367	4.826	6.713	4.8755	5.7695	0.242896117	0.997653256	0.999031528	RPA2	replicon protein A2
AT2G24500	494	612	929	849	12.178	14.334	20.445	19.139	13.256	19.792	0.578271898	0.051050065	0.287474209	FZF	Zinc finger protein 622
