"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT2G21040",0,NA,NA,NA,NA,NA
"AT2G21100",2.80406953589771,1.29765802197494,2.18861834120874,0.592911974436926,0.553240063825374,NA
"AT2G21105",0,NA,NA,NA,NA,NA
"AT2G21110",0,NA,NA,NA,NA,NA
"AT2G21235",0.222447373180754,1.10695571217707,4.9968980720458,0.221528575571657,0.824680889167006,NA
"AT2G21237",0.441957807973751,2.0991861207856,4.89259076067734,0.429054099038316,0.667883855128731,NA
"AT2G21310",0,NA,NA,NA,NA,NA
"AT2G21400",1.39856378171817,1.94511087283443,3.26825352843505,0.595152994071979,0.551741207792671,NA
"AT2G21420",0,NA,NA,NA,NA,NA
"AT2G21450",1.54978926629589,3.90905602903564,2.91680705580697,1.34018327377988,0.180185768086363,NA
"AT2G21455",0,NA,NA,NA,NA,NA
"AT2G21465",0,NA,NA,NA,NA,NA
"AT2G21480",0,NA,NA,NA,NA,NA
"AT2G21490",0.933710865836652,1.26292260458435,3.12496528805414,0.404139722579368,0.686109976117056,NA
"AT2G21595",0,NA,NA,NA,NA,NA
"AT2G21610",0.220978903986876,1.1021515281592,4.99724364020502,0.220551889704138,0.825441364967029,NA
"AT2G21655",0,NA,NA,NA,NA,NA
"AT2G21680",0,NA,NA,NA,NA,NA
"AT2G21690",0,NA,NA,NA,NA,NA
"AT2G21720",0.220978903986876,1.1021515281592,4.99724364020502,0.220551889704138,0.825441364967029,NA
"AT2G21725",0,NA,NA,NA,NA,NA
"AT2G21727",0,NA,NA,NA,NA,NA
"AT2G21740",0,NA,NA,NA,NA,NA
"AT2G21750",0,NA,NA,NA,NA,NA
"AT2G21780",1.81471865118803,-0.779126639230194,2.14852014539889,-0.362634086023681,0.716878244109838,NA
"AT2G21810",0.220978903986876,1.1021515281592,4.99724364020502,0.220551889704138,0.825441364967029,NA
"AT2G21900",0,NA,NA,NA,NA,NA
"AT2G21910",0.535674430976534,-2.72155760261616,4.89689689493793,-0.5557718818686,0.578366809798475,NA
"AT2G21920",0,NA,NA,NA,NA,NA
